Treeno,Species,x,y,dbh,ht,vigour,status,type
1,Fd,6.590158571,30.56943179,1.6,2.1,2,live,plot
2,Fd,10.33878124,29.3429204,30.3,25.8,1,live,plot
3,Fd,15.04737136,30.28723006,35.8,22.4,2,live,plot
4,Fd,19.09924435,29.00207313,12.1,14,2,live,plot
5,Fd,19.92067498,28.45640764,10.9,9.5,2,live,plot
6,Fd,20.08579817,30.70674737,1.5,2.3,1,live,plot
7,Fd,20.4460116,30.07814159,3.5,4.6,1,live,plot
8,Fd,23.1222642,30.15612909,19.4,17.6,3,live,plot
9,Fd,24.52368881,29.22822475,,,0,dead,plot
10,Fd,25.8000941,29.56703569,2.4,3,1,live,plot
11,Fd,26.51015632,30.53771237,7.5,8.8,3,live,plot
12,Fd,27.85636749,29.18619108,4.9,5.1,2,live,plot
13,Fd,28.05686439,29.40957667,1.9,2.3,1,live,plot
14,Fd,29.63421426,28.25572952,10.8,13.2,2,live,plot
15,Fd,30.85848104,27.5678563,20.3,16.3,3,live,plot
16,Fd,30.73028114,27.89734762,1.7,2.3,1,live,plot
17,Fd,28.34879729,25.2614507,9.8,11.9,3,live,plot
18,Fd,27.5318725,27.13485013,47,27.1,2,live,plot
19,Fd,23.8736776,28.22021349,,,0,dead,plot
20,Fd,23.39324346,26.24750439,7.9,6.3,3,live,plot
21,Fd,22.03180408,28.01647969,5.6,7.1,2,live,plot
22,Fd,20.65272504,27.22860528,6.3,6.8,2,live,plot
23,Fd,20.19115012,26.6629647,11.6,9.2,3,live,plot
24,Fd,20.39611389,24.80700559,3.3,3.7,1,live,plot
25,Fd,19.29441428,25.39203303,14.4,12.2,2,live,plot
26,Fd,19.4974023,27.85862775,16.9,16.4,3,live,plot
27,Fd,17.77474298,26.94132051,6,8,1,live,plot
28,Fd,17.06617837,26.03465752,2.4,2.7,1,live,plot
29,Fd,17.13964124,28.44023358,6.1,7.7,2,live,plot
30,Fd,14.34213373,27.71990897,6.3,5.9,2,live,plot
31,Fd,14.95583143,25.57319858,3,2.9,2,live,plot
32,Fd,13.75384353,26.41208052,10.9,8,1,live,plot
33,Fd,11.38126569,24.89136031,14.6,14.1,3,live,plot
34,Fd,10.57157692,28.14241905,4.2,2.9,3,live,plot
35,Fd,5.944773609,26.01988666,4.3,3.4,3,live,plot
36,Fd,4.569325579,27.05653479,2.3,2.4,3,live,plot
37,Fd,4.639661557,25.52240655,8.5,6.9,3,live,plot
38,Fd,3.859991807,28.18695156,6,5.3,2,live,plot
39,Fd,2.526875464,27.36050999,4.9,4.2,3,live,plot
40,Fd,2.17941212,26.46414549,66.3,33.1,2,live,plot
41,Fd,1.806502299,25.61524121,3.4,3.2,2,live,plot
42,Fd,0.980897582,23.04448729,0.5,1.5,2,live,plot
43,Fd,1.770374158,23.26971614,2,2.3,3,live,plot
44,Fd,0.929567208,23.38780199,2.7,3.3,2,live,plot
45,Fd,3.568299718,22.59654191,6.2,4.7,3,live,plot
46,Fd,3.946471552,21.60040749,1.6,2.3,1,live,plot
47,Fd,5.572102854,22.97769861,7.7,6.3,3,live,plot
48,Fd,5.867600054,22.52088264,3.2,3.1,2,live,plot
50,Fd,8.130824215,24.64246982,2.4,2.6,2,live,plot
51,Fd,9.307259968,22.31075691,1.9,2.3,1,live,plot
52,Fd,9.768649527,22.06720091,9.3,7.8,3,live,plot
53,Fd,14.01752007,22.99258396,36.5,26.8,3,live,plot
54,Fd,15.90974346,21.80950049,40.1,28.1,3,live,plot
55,Fd,15.9385559,23.50846082,2.9,3,2,live,plot
56,Fd,15.96824316,24.71063256,5.3,5.2,2,live,plot
57,Fd,17.85059303,22.50456268,5.3,5.9,3,live,plot
58,Fd,18.5773014,23.85289362,7.2,6.8,3,live,plot
59,Fd,18.89348718,23.07847439,1,1.9,1,live,plot
60,Fd,22.88066992,24.23649304,1.4,2.1,1,live,plot
61,Fd,22.96484217,23.76118828,11,12.4,3,live,plot
62,Fd,26.86940398,22.45604504,10.6,12.5,3,live,plot
63,Fd,26.71082733,22.8893498,11.1,11.5,2,live,plot
